source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,129,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,130,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,131,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,132,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,133,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,134,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,135,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,136,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,137,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,138,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,139,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,140,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,141,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,142,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,143,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,144,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,145,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,146,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,147,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,148,,,,,,use,,
